threshold,prevalence,nb_model,nb_all,nb_none,snb_model,snb_all,snb_none
0.01,0.21548117154811716,0.20030852457630702,0.20755673893749207,0.0,0.9295871334706286,0.9632244777875846,0.0
0.02,0.21548117154811716,0.19460336435829562,0.19947058321236444,0.0,0.9031107588666534,0.9256984347136913,0.0
0.03,0.21548117154811716,0.18658068412198595,0.19121770262692492,0.0,0.865879291362226,0.8873986587929137,0.0
0.04,0.21548117154811716,0.17895746164574616,0.1827928870292887,0.0,0.8305016181229773,0.8483009708737863,0.0
0.05,0.21548117154811716,0.17330984364677385,0.1741907068927549,0.0,0.8042922841083291,0.8083801737353091,0.0
0.060000000000000005,0.21548117154811716,0.1662512240719309,0.16540550164693313,0.0,0.7715348068580871,0.767609997934311,0.0
0.06999999999999999,0.21548117154811716,0.15890583524542223,0.15643136725603995,0.0,0.7374464975467168,0.7259630441590981,0.0
0.08,0.21548117154811716,0.1532654175004548,0.14726214298708387,0.0,0.7112705783030815,0.6834107218235542,0.0
0.09,0.21548117154811716,0.14761598234401585,0.13789139730562328,0.0,0.6850528112664036,0.6399231836125041,0.0
0.09999999999999999,0.21548117154811716,0.14388656438865643,0.12831241283124128,0.0,0.6677454153182308,0.5954692556634305,0.0
0.11,0.21548117154811716,0.1373701283437544,0.11851817027878334,0.0,0.6375040907603359,0.550016363041344,0.0
0.12,0.21548117154811716,0.1323697223278813,0.10850133130467861,0.0,0.614298323036187,0.503530450132392,0.0
0.13,0.21548117154811716,0.12470542971192228,0.09825422017024961,0.0,0.5787300524495034,0.45597589554737195,0.0
0.14,0.21548117154811716,0.11511141383672277,0.08776880412571764,0.0,0.534206367125762,0.40731542108828184,0.0
0.15000000000000002,0.21548117154811716,0.10657149889244398,0.07703667240954959,0.0,0.49457452884066233,0.3575099942889777,0.0
0.16,0.21548117154811716,0.09962143853357242,0.06604901374775851,0.0,0.46232085067036516,0.3065187239944521,0.0
0.17,0.21548117154811716,0.09477239501940816,0.05479659222664718,0.0,0.4398175225172534,0.25429874839162475,0.0
0.18000000000000002,0.21548117154811716,0.08704969894887234,0.043269721400142874,0.0,0.40397821453942695,0.200805114847265,0.0
0.19,0.21548117154811716,0.08290717495738417,0.03145823647915702,0.0,0.38475368572455954,0.14599065084501994,0.0
0.2,0.21548117154811716,0.08054393305439331,0.01935146443514646,0.0,0.3737864077669903,0.08980582524271852,0.0
0.21000000000000002,0.21548117154811716,0.07777660081563476,0.006938191833059687,0.0,0.3609438367948875,0.03219859899225758,0.0
0.22,0.21548117154811716,0.0768694346100204,-0.005793369810106197,0.0,0.35673388100572573,-0.02688573562359963,0.0
0.23,0.21548117154811716,0.07813943378796936,-0.0188556213660816,0.0,0.36262766359853743,-0.08750472828142722,0.0
0.24000000000000002,0.21548117154811716,0.07663510240035235,-0.03226161638405639,0.0,0.35564639754726624,-0.14971895758814519,0.0
0.25,0.21548117154811716,0.07322175732217573,-0.04602510460251044,0.0,0.3398058252427184,-0.21359223300970864,0.0
0.26,0.21548117154811716,0.0686418636209431,-0.06016057898903085,0.0,0.3185515612700078,-0.2791918131723956,0.0
0.27,0.21548117154811716,0.06488221470739956,-0.07468332664641489,0.0,0.3011038701955048,-0.34658864210666324,0.0
0.28,0.21548117154811716,0.06578335657833564,-0.08960948396094845,0.0,0.3052858683926644,-0.41585760517799375,0.0
0.29000000000000004,0.21548117154811716,0.06326241970652366,-0.10495609641110262,0.0,0.293586763298236,-0.48707780664569955,0.0
0.3,0.21548117154811716,0.05558876270173342,-0.12074118350268978,0.0,0.25797503467406385,-0.5603328710124826,0.0
0.31,0.21548117154811716,0.05148262688739312,-0.13698380935055485,0.0,0.23891937526382437,-0.635711270578303,0.0
0.32,0.21548117154811716,0.04774796948067929,-0.153704159488063,0.0,0.2215876641918903,-0.7133066818960594,0.0
0.33,0.21548117154811716,0.044089177543246094,-0.1709236245550491,0.0,0.20460802782205467,-0.7932183741486744,0.0
0.34,0.21548117154811716,0.039558767592240376,-0.18866489159376196,0.0,0.18358340688437766,-0.8755516328331865,0.0
0.35000000000000003,0.21548117154811716,0.03540392661731573,-0.20695204377212748,0.0,0.1643017176997759,-0.960418222554145,0.0
0.36000000000000004,0.21548117154811716,0.02065899581589957,-0.225810669456067,0.0,0.09587378640776693,-1.0479368932038837,0.0
0.37,0.21548117154811716,0.023377830909211667,-0.24526798166965533,0.0,0.10849129295731239,-1.1382339343504393,0.0
0.38,0.21548117154811716,0.026994196247806718,-0.2653529491159401,0.0,0.12527403695584088,-1.2314437832759162,0.0
0.39,0.21548117154811716,0.02994032512518005,-0.28609644008505386,0.0,0.13894636320229187,-1.3277096928219003,0.0
0.4,0.21548117154811716,0.02789400278940027,-0.30753138075313813,0.0,0.1294498381877022,-1.4271844660194177,0.0
0.41000000000000003,0.21548117154811716,0.020530458832706905,-0.3296929295794624,0.0,0.09527727497120292,-1.5300312654270196,0.0
0.42000000000000004,0.21548117154811716,0.013778675515798575,-0.35261866974462563,0.0,0.06394375627720116,-1.6364245061935052,0.0
0.43,0.21548117154811716,0.0043309109594068945,-0.3763488218454084,0.0,0.020098790665985394,-1.7465508431272352,0.0
0.44,0.21548117154811716,0.014793783622235504,-0.4009264793783621,0.0,0.06865464632454923,-1.8606102635228843,0.0
0.45,0.21548117154811716,0.01483453784709015,-0.42639786991251416,0.0,0.06884377758164166,-1.978817299205648,0.0
0.46,0.21548117154811716,0.02177281884394855,-0.4528126452812645,0.0,0.1010427903631787,-2.1014023732470335,0.0
0.47000000000000003,0.21548117154811716,0.020091576537459535,-0.480224204626194,0.0,0.0932405202418025,-2.228613299139036,0.0
0.48000000000000004,0.21548117154811716,0.020115867396202122,-0.5086900547151593,0.0,0.0933532486930545,-2.3607169529499625,0.0
0.49,0.21548117154811716,0.018295184182459602,-0.5382722126507505,0.0,0.08490386445840475,-2.498001142204454,0.0
0.5,0.21548117154811716,0.01255230125523013,-0.5690376569037656,0.0,0.05825242718446604,-2.640776699029126,0.0
0.51,0.21548117154811716,0.011356843992827253,-0.6010588335752711,0.0,0.05270457697642162,-2.7893798296017436,0.0
0.52,0.21548117154811716,0.010460251046025104,-0.6344142259414226,0.0,0.04854368932038835,-2.9441747572815533,0.0
0.53,0.21548117154811716,0.011706578830232347,-0.6691889967061337,0.0,0.054327618260689915,-3.105556703160504,0.0
0.54,0.21548117154811716,0.004366017827906125,-0.7054757140258323,0.0,0.020261713803292503,-3.2739552553820177,0.0
0.55,0.21548117154811716,0.0032543003254300214,-0.7433751743375177,0.0,0.015102481121898546,-3.4498381877022664,0.0
0.56,0.21548117154811716,0.003233168505135029,-0.7829973373906429,0.0,0.015004413062665475,-3.6337157987643427,0.0
0.5700000000000001,0.21548117154811716,-0.004038143427070165,-0.8244623917485651,0.0,-0.018740121923684842,-3.826145856852564,0.0
0.5800000000000001,0.21548117154811716,-0.007172743574417224,-0.8679019725044833,0.0,-0.033287101248266344,-4.027739251040224,0.0
0.59,0.21548117154811716,-0.005255638330441875,-0.913460557199714,0.0,-0.024390243902438994,-4.239166469334595,0.0
0.6,0.21548117154811716,-0.008368200836820078,-0.9612970711297067,0.0,-0.03883495145631065,-4.461165048543688,0.0
0.61,0.21548117154811716,-0.011533097307155883,-1.0115867396202125,0.0,-0.05352252925068458,-4.694548170276326,0.0
0.62,0.21548117154811716,-0.012662409160977755,-1.0645232327681127,0.0,-0.05876341338783851,-4.9402146142054155,0.0
0.63,0.21548117154811716,-0.01238267556259188,-1.1203211579780616,0.0,-0.05746523222251377,-5.199160325373917,0.0
0.64,0.21548117154811716,-0.0097629009762901,-1.179218967921897,0.0,-0.0453074433656958,-5.472491909385114,0.0
0.65,0.21548117154811716,-0.010759115361625824,-1.2414823670053798,0.0,-0.04993065187239946,-5.7614424410540925,0.0
0.66,0.21548117154811716,-0.007752891951759785,-1.307408318976126,0.0,-0.03597944031981726,-6.067390062821245,0.0
0.67,0.21548117154811716,-0.006529732471155066,-1.3773297831875242,0.0,-0.030303030303030307,-6.391879964695501,0.0
0.68,0.21548117154811716,-0.009414225941422596,-1.4516213389121342,0.0,-0.04368932038834952,-6.736650485436894,0.0
0.6900000000000001,0.21548117154811716,-0.01025779457416656,-1.5307058982318806,0.0,-0.04760413404321957,-7.10366426558096,0.0
0.7000000000000001,0.21548117154811716,-0.011157601115760115,-1.6150627615062767,0.0,-0.051779935275080916,-7.495145631067963,0.0
0.7100000000000001,0.21548117154811716,-0.012119463280911855,-1.7052373394892522,0.0,-0.05624372279879482,-7.913625711416141,0.0
0.72,0.21548117154811716,-0.00986252241482367,-1.801852958756724,0.0,-0.04576976421636616,-8.361997226074894,0.0
0.73,0.21548117154811716,-0.005036417170308381,-1.9056252905625288,0.0,-0.02337288745055734,-8.843581445523192,0.0
0.74,0.21548117154811716,-0.0056324428709365925,-2.0173801094303183,0.0,-0.026138909634055255,-9.36221060492905,0.0
0.75,0.21548117154811716,-0.006276150627615061,-2.1380753138075312,0.0,-0.029126213592233,-9.922330097087377,0.0
0.76,0.21548117154811716,-0.00697350069735007,-2.2688284518828454,0.0,-0.032362459546925564,-10.529126213592233,0.0
0.77,0.21548117154811716,-0.007731489903583772,-2.4109514280516646,0.0,-0.035880118193330514,-11.188687209793162,0.0
0.78,0.21548117154811716,-0.010650437428680107,-2.565994674781286,0.0,-0.04942630185348632,-11.908208296557811,0.0
0.79,0.21548117154811716,0.0,-2.7358039450089664,0.0,0.0,-12.696255201109572,0.0
0.8,0.21548117154811716,0.0,-2.922594142259415,0.0,0.0,-13.563106796116509,0.0
0.81,0.21548117154811716,0.0,-3.1290464655362262,0.0,0.0,-14.521205927439961,0.0
0.8200000000000001,0.21548117154811716,0.0,-3.358437935843795,0.0,0.0,-15.585760517799358,0.0
0.8300000000000001,0.21548117154811716,0.0,-3.6148166379522535,0.0,0.0,-16.77555682467162,0.0
0.8400000000000001,0.21548117154811716,0.0,-3.9032426778242706,0.0,0.0,-18.114077669902926,0.0
0.85,0.21548117154811716,0.0,-4.230125523012552,0.0,0.0,-19.631067961165044,0.0
0.86,0.21548117154811716,0.0,-4.603705917513448,0.0,0.0,-21.364771151178914,0.0
0.87,0.21548117154811716,0.0,-5.034760218860636,0.0,0.0,-23.36519790888722,0.0
0.88,0.21548117154811716,0.0,-5.53765690376569,0.0,0.0,-25.69902912621359,0.0
0.89,0.21548117154811716,0.0,-6.131989349562572,0.0,0.0,-28.457193292144748,0.0
0.9,0.21548117154811716,0.0,-6.845188284518829,0.0,0.0,-31.76699029126214,0.0
0.91,0.21548117154811716,0.0,-7.716875871687589,0.0,0.0,-35.81229773462784,0.0
0.92,0.21548117154811716,0.0,-8.806485355648542,0.0,0.0,-40.86893203883498,0.0
0.93,0.21548117154811716,0.0,-10.207411835026905,0.0,0.0,-47.370319001386996,0.0
0.9400000000000001,0.21548117154811716,0.0,-12.075313807531392,0.0,0.0,-56.038834951456366,0.0
0.9500000000000001,0.21548117154811716,0.0,-14.69037656903768,0.0,0.0,-68.1747572815535,0.0
0.9600000000000001,0.21548117154811716,0.0,-18.612970711297105,0.0,0.0,-86.37864077669919,0.0
0.97,0.21548117154811716,0.0,-25.150627615062742,0.0,0.0,-116.71844660194165,0.0
0.98,0.21548117154811716,0.0,-38.225941422594104,0.0,0.0,-177.398058252427,0.0
0.99,0.21548117154811716,0.0,-77.45188284518821,0.0,0.0,-359.43689320388313,0.0
