feature,count,freq,mean_abs_coef
bun,3,1.0,0.22085521618525186
spo2,3,1.0,0.1846033583084742
heart_rate,3,1.0,0.16289332012335458
bicarbonate,3,1.0,0.12127362191677094
pt,3,1.0,0.11183411379655202
sbp,3,1.0,0.09208038697640102
platelets,3,1.0,0.08206366747617722
hemoglobin,3,1.0,0.04581007485588392
age,0,0.0,0.0
aptt,0,0.0,0.0
temperature,0,0.0,0.0
hematocrit,0,0.0,0.0
wbc,0,0.0,0.0
aniongap,0,0.0,0.0
calcium,0,0.0,0.0
chloride,0,0.0,0.0
creatinine,0,0.0,0.0
glucose,0,0.0,0.0
sodium,0,0.0,0.0
potassium,0,0.0,0.0
inr,0,0.0,0.0
